"mean","lower","mid","upper","ESS","Rhat","var","ivar","converged","ess.thres","nwarm"
1.64112433098914,1.30634961635439,1.63257359373969,2.04301808311981,7163.8572366727,0.999832772402509,"omega",1,TRUE,300,3000
0.0235854680551127,0.00884751288266404,0.0228651894425248,0.0422398156121004,7038.31972780964,0.999685192410381,"theta",1,TRUE,300,3000
0.702236885681352,0.484604248960242,0.697595630408407,0.942910833517499,5129.03732741936,0.999967954825224,"lambda",1,TRUE,300,3000
0.0850691908027091,0.0117058667445002,0.0714586899301884,0.233722725519708,7331.77148063707,1.0001601973166,"lambda",2,TRUE,300,3000
0.694534977639261,0.215870176901477,0.723685490721659,0.98554962032284,6955.32395918706,0.999706051386147,"lambda",3,TRUE,300,3000
0.54967945182766,0.0824049158353608,0.560739349344423,0.96716526895963,6550.45091477482,0.999784156972864,"lambda",4,TRUE,300,3000
0.0488443648446969,0.00588866195563055,0.0434821260917405,0.122302020228269,6867.6144811718,0.999846473634247,"lambda",5,TRUE,300,3000
0.132472642040185,0.0337676410403878,0.127279677831736,0.261361761618785,6395.86821861327,0.999822876461281,"lambda",6,TRUE,300,3000
0.58845816087674,0.163099260142003,0.592613918885316,0.964000689160052,6460.89326258102,1.00025486256171,"lambda",7,TRUE,300,3000
0.81719615891545,0.472844752737459,0.84798505815813,0.992388067212174,7201.59347996056,1.00001972097887,"lambda",8,TRUE,300,3000
0.156112672160463,0.075333585217853,0.152533957929706,0.256676611189927,6724.51299502962,1.00018513130595,"lambda",9,TRUE,300,3000
0.138575048372791,0.0578345373855862,0.135306119114584,0.235023346066173,6671.14928577705,0.99994969154522,"lambda",10,TRUE,300,3000
0.631279346390557,0.283822988477018,0.631290036812477,0.960802807494112,6623.62543287743,0.999999901479877,"lambda",11,TRUE,300,3000
0.305721427939047,0.0400181278612477,0.285846554238502,0.688975949822233,6860.74478873369,1.00041393464704,"lambda",12,TRUE,300,3000
0.240121237328606,0.0309452746035517,0.222725467718092,0.54031030202051,6736.34441137056,1.00093498213165,"lambda",13,TRUE,300,3000
0.408813609330168,0.0919922797537812,0.393065320705229,0.81303722537437,6440.79989324259,1.00004096432154,"lambda",14,TRUE,300,3000
0.203982135223408,0.0451899687577935,0.190769424747948,0.44214271852386,6201.48803770777,1.00040774922594,"lambda",15,TRUE,300,3000
0.295691360957355,0.119049905560132,0.285219934015452,0.534054907757854,6529.59183589308,1.00056141534692,"lambda",16,TRUE,300,3000
0.297529462835211,0.125463504701415,0.286101907334547,0.526337233479614,5961.97219639576,1.00003435082155,"lambda",17,TRUE,300,3000
0.16579976310642,0.0724619693438255,0.160799869019741,0.29163209803628,6233.6386305788,1.00013711686204,"lambda",18,TRUE,300,3000
0.278740614091185,0.126980988812169,0.271672181877629,0.474052214666604,6296.8285434338,1.00015350982486,"lambda",19,TRUE,300,3000
