"mean","lower","mid","upper","ESS","Rhat","var","ivar","converged","ess.thres","nwarm"
1.34553816818765,1.01416009491965,1.301436616726,1.93519829088084,5669.20610398446,1.00000403853536,"omega",1,TRUE,300,3000
0.301301441364225,0.237540977534334,0.3003458354872,0.370207420542852,5903.15586138332,0.999978874677558,"theta",1,TRUE,300,3000
0.0411211627377794,0.0339683506936656,0.0410357923440153,0.0487184245595839,3686.36962719659,1.00022178895444,"lambda",1,TRUE,300,3000
0.0769470449687411,0.000357504191918766,0.0709028031292624,0.228583970120322,1775.10934697998,1.00268931466859,"lambda",2,TRUE,300,3000
0.0693464427486555,0.000431986590606777,0.00677209993864625,0.431174480570282,387.144703949728,1.00640655240569,"lambda",3,TRUE,300,3000
0.0156900154156566,0.00077060759934258,0.00866846455140841,0.063813135671755,5117.76333033375,1.00118619532035,"lambda",4,TRUE,300,3000
0.250819584103337,0.00155830563328144,0.306154645883968,0.455837840276145,484.008943867549,1.00212579869676,"lambda",5,TRUE,300,3000
0.0215599683009765,0.00340247540031708,0.0154312485934301,0.081742414979009,2814.67361976351,1.00027707845704,"lambda",6,TRUE,300,3000
0.0112582448664364,0.000657777686352063,0.00635383236060245,0.0491408387614006,6004.31944909164,1.00107462175253,"lambda",7,TRUE,300,3000
0.0167200655974051,0.000311383673998284,0.0119714012436989,0.0665279631728586,4512.99645168776,0.999839941315317,"lambda",8,TRUE,300,3000
0.0153729579982379,0.0014017620925886,0.012877658522829,0.0439567132702875,4720.99075977887,0.999762906560404,"lambda",9,TRUE,300,3000
0.0070443367214212,0.00346430993715939,0.00656744899064315,0.0133930439255277,4592.54195921377,1.00054111582046,"lambda",10,TRUE,300,3000
0.0122791397808807,0.00781130166365671,0.0116080432167529,0.0205565187369974,3992.86074226593,1.00015218490294,"lambda",11,TRUE,300,3000
0.00527140670791521,0.00288727040052691,0.00505172593285232,0.00896564734083317,6007.54209878518,1.00006031332312,"lambda",12,TRUE,300,3000
0.00315075688396697,0.00207779287549217,0.00298296572112829,0.0051408366539974,6143.13295110827,1.00063963115772,"lambda",13,TRUE,300,3000
0.00458979003012034,0.00311400309217075,0.00445767780590566,0.00685721753219934,6128.68998527195,0.99995622426592,"lambda",14,TRUE,300,3000
0.0112401118116693,0.0070624371945117,0.0108807285004779,0.0172704184759604,6008.65006224893,1.00031961581301,"lambda",15,TRUE,300,3000
0.0148479750964074,0.00951909237724068,0.0144228057942986,0.0225916787624145,6065.74754339086,1.00030298789327,"lambda",16,TRUE,300,3000
0.030386062893505,0.000658456040439891,0.0023197469567204,0.415247751068633,1171.22707877221,1.0011743398377,"binnedPhiT",1,TRUE,300,3000
0.175669054359855,0.000762849745815335,0.059747315464853,0.855270367989934,2448.09756970496,1.00106600534165,"binnedPhiT",2,TRUE,300,3000
0.204967445823741,0.00938060444989451,0.091367643823024,0.877550909297736,3564.55875063182,1.0007651224501,"binnedPhiT",3,TRUE,300,3000
0.0826512473556752,0.00124053277570855,0.00245954839990237,0.75508708070023,692.453308130614,1.00206558501145,"binnedPhiT",4,TRUE,300,3000
0.269505959906914,0.0209037917630371,0.195547598648106,0.882579260247068,3950.08175921242,1.00058240872065,"binnedPhiT",5,TRUE,300,3000
0.205714102327963,0.00837118979301441,0.102626945023626,0.853005006709408,5812.00066326133,1.00063575964201,"binnedPhiT",6,TRUE,300,3000
0.0889055162331206,0.002091681692068,0.0193146338267164,0.708616464193038,5735.12299776865,1.00001062016451,"binnedPhiT",7,TRUE,300,3000
0.147708460336351,0.0155460320828469,0.0810258759611802,0.731015669875724,4849.999595601,1.00015661153076,"binnedPhiT",8,TRUE,300,3000
0.441615718503524,0.14812921944794,0.414275804547347,0.883244634966269,3117.95186477588,1.00057520076133,"binnedPhiT",9,TRUE,300,3000
0.116396057249417,0.0471762494320398,0.112835800812765,0.204796173825365,3223.31925955407,1.00019854283634,"binnedPhiT",10,TRUE,300,3000
0.633841303097178,0.268644687822471,0.635411758078407,0.974506680324506,3039.72377297591,0.999879052695999,"binnedPhiT",11,TRUE,300,3000
0.39348981294785,0.181859808317039,0.376778417691821,0.713546740969228,4516.5165439674,1.0000419982482,"binnedPhiT",12,TRUE,300,3000
0.167965610202204,0.0825481587437956,0.163667297847813,0.281884467064679,4808.27049951255,0.99991451725636,"binnedPhiT",13,TRUE,300,3000
0.773330612719501,0.418672059420011,0.801005062491475,0.990051509403523,5320.6901548013,1.00035429264795,"binnedPhiT",14,TRUE,300,3000
0.856118928126041,0.56772547667257,0.884569468459982,0.995315854933079,5568.91141590728,0.999757167826345,"binnedPhiT",15,TRUE,300,3000
0.158444614929395,0.0929627403191553,0.155508698723751,0.241207685415748,4887.79230445661,1.00008258742782,"binnedPhiT",16,TRUE,300,3000
0.0543097379514119,0.0122087565208654,0.0484323442893305,0.128292547895497,3383.53175532768,1.00011758812201,"binnedQe",1,TRUE,300,3000
0.720970841126704,0.42375503497212,0.723922397393572,0.980245426664297,4116.07755832841,1.00039916735752,"binnedQe",2,TRUE,300,3000
0.0127600623070254,0.000298150032411907,0.0088536084334179,0.0472030408267497,7039.08819369448,0.999896787273249,"binnedQe",3,TRUE,300,3000
0.0165095255505599,0.000966031260121457,0.0140036365555319,0.0470663858618,6175.84498134966,1.00002904931711,"binnedQe",4,TRUE,300,3000
0.0686042849534321,0.0247153360181686,0.0629410078719304,0.144885478529028,2357.53561495994,1.00007753813672,"binnedQe",5,TRUE,300,3000
0.966841958627598,0.880832284535162,0.976580296548509,0.998979107826538,6697.12786724869,0.999797781599697,"binnedQe",6,TRUE,300,3000
