"mean","lower","mid","upper","ESS","Rhat","var","ivar","converged","ess.thres","nwarm"
2.82334337137086,1.96757995806944,2.77834627532346,3.89919666455082,6770.37007964391,0.999935090273975,"omega",1,TRUE,300,3000
0.830363094097123,0.71191267995356,0.82816389168664,0.962497455752196,6593.14106779885,0.999885778472308,"theta",1,TRUE,300,3000
0.090380646860067,0.080172052309398,0.0903570900028055,0.100788102283664,7209.44159172517,0.999661579263715,"lambda",1,TRUE,300,3000
0.0230423140626296,0.0122964049104335,0.0216627593440141,0.0412408561626693,7114.04174136898,0.99984140846124,"lambda",2,TRUE,300,3000
0.0230350740926629,0.0130516286970146,0.0219159845633023,0.0390750916628682,6400.38136492658,0.999784770009332,"lambda",3,TRUE,300,3000
0.0740339569596669,0.0480796876289478,0.0722794195076366,0.111470816009916,6688.1277844276,1.00007176382591,"lambda",4,TRUE,300,3000
0.0612066926179104,0.0407863626590296,0.0599653508225936,0.0896614209335313,7098.43797048582,0.999777120430824,"lambda",5,TRUE,300,3000
0.0583857610323407,0.0391943312526804,0.0571313883476643,0.0842394506511873,7326.97000465753,0.999702493767141,"lambda",6,TRUE,300,3000
0.051350395782389,0.0347547084526805,0.0504618751588417,0.0731502809340847,6710.22366166842,0.999772344181366,"lambda",7,TRUE,300,3000
0.0343783047705517,0.0233804726192178,0.0337083875254094,0.0486511241464258,7078.96294513708,0.999753785418525,"lambda",8,TRUE,300,3000
0.0593177540778771,0.0427282153119493,0.0582707283808495,0.0804449252020942,6470.47925513064,1.00011542608856,"lambda",9,TRUE,300,3000
0.0458064017993523,0.0338547154960475,0.0454068033967943,0.060000313673072,6972.62708404665,0.999769225672468,"lambda",10,TRUE,300,3000
0.0460077425579742,0.0345884519507337,0.0455675652068169,0.0603781953335974,6727.18184172608,0.999960923424607,"lambda",11,TRUE,300,3000
0.0160311635272983,0.0112913383230051,0.0158366635966837,0.0219886119337684,7157.71358235528,0.999843242120482,"lambda",12,TRUE,300,3000
0.0193830814089849,0.0141798610531818,0.0191353080799826,0.0259056631894907,7141.49075765105,0.999702507461126,"lambda",13,TRUE,300,3000
0.0318260637950479,0.0234807234281785,0.0315212162935347,0.0421786209313365,7149.64415306544,1.0000952602825,"lambda",14,TRUE,300,3000
0.020563137972833,0.0146609799740496,0.0202233813718928,0.0282971884692961,6831.5630521664,0.999962572594472,"lambda",15,TRUE,300,3000
0.0142751897721071,0.00964315246038694,0.0139756035428994,0.0203750411452769,6980.87695215402,1.00061452625966,"lambda",16,TRUE,300,3000
0.00226718762097333,0.000423021417287039,0.00215556912490261,0.00483517571593278,7177.33188801518,0.999629644450518,"binnedQe",1,TRUE,300,3000
0.0989576059332834,0.0824814309013545,0.0983387674364539,0.11859634483802,6987.15084114514,0.999683068068063,"binnedQe",2,TRUE,300,3000
0.000844902828678697,2.33774944616882e-05,0.000567507991612952,0.00320811117788612,6973.29817792029,0.999695267219627,"binnedQe",3,TRUE,300,3000
0.0103468857669793,0.00713080085993623,0.0101763767236328,0.0145064757571264,7144.37474154861,0.999905061959593,"binnedQe",4,TRUE,300,3000
