"mean","lower","mid","upper","ESS","Rhat","var","ivar","converged","ess.thres","nwarm"
2.81013714808491,1.80319701606359,2.77431118161435,4.04216304391308,7015.06072052418,0.999672051373476,"omega",1,TRUE,300,3000
0.35989214024386,0.293649785992676,0.358578553080486,0.433784344044699,6952.18868199164,0.999859371279271,"theta",1,TRUE,300,3000
0.0830420783334438,0.0735854752668995,0.08294910838333,0.0929803772348595,5727.8168945163,1.00053696916797,"lambda",1,TRUE,300,3000
0.0205340234199946,0.0136425756738999,0.02019903665064,0.0293822868934839,6574.48098113193,0.999960693911587,"lambda",2,TRUE,300,3000
0.028173318606516,0.019187546928461,0.0276123698345304,0.0398440670533571,6879.47448175432,1.00001811873153,"lambda",3,TRUE,300,3000
0.0301743546728059,0.0220102234393434,0.0298342654407279,0.0401874699241195,6143.27556875929,1.00004425641676,"lambda",4,TRUE,300,3000
0.043085215169837,0.032014668072,0.0428233228080886,0.0560287637094534,6597.95168448964,1.0001189822315,"lambda",5,TRUE,300,3000
0.031518294571215,0.0231308515466538,0.0311923545377693,0.0418814367345032,6383.32265077171,0.999910297174124,"lambda",6,TRUE,300,3000
0.0144734014936632,0.0102229640845657,0.0142899796695841,0.0197686134911092,6465.13248742612,0.999863940566504,"lambda",7,TRUE,300,3000
0.0134852261308741,0.00953929645267774,0.0133284965872159,0.0183930847020125,6689.95182514501,0.999829213917621,"lambda",8,TRUE,300,3000
0.0120422762346658,0.00846294004764839,0.0119075259145175,0.016397913219484,6565.21389803709,0.999753284602634,"lambda",9,TRUE,300,3000
0.0318169422389029,0.024958534753558,0.0316496580284602,0.0393941245126554,6245.65115526114,0.999753052656785,"lambda",10,TRUE,300,3000
0.0352015185138761,0.0275929771374373,0.0350826645463599,0.0437093433493141,6260.41228553149,0.999839421655844,"lambda",11,TRUE,300,3000
0.0139837132913678,0.010383886557515,0.0138396526401125,0.0182564624189086,6327.93152998997,0.999666612385116,"lambda",12,TRUE,300,3000
0.0170807539767422,0.0128873118698204,0.0169633295095276,0.0219047697175643,6151.31104622603,0.999710744261061,"lambda",13,TRUE,300,3000
0.0149077659920555,0.0111186002414202,0.014826216051362,0.0193245220725491,6264.66462111935,0.999791702866473,"lambda",14,TRUE,300,3000
0.0115811378079859,0.00857490679755746,0.0114995370513207,0.015144663637961,6284.47050716603,1.00019131171256,"lambda",15,TRUE,300,3000
0.0132810077620327,0.00979463914555777,0.0131846651516166,0.0174892102930236,6174.38000557644,0.999705176141549,"lambda",16,TRUE,300,3000
0.00611586198598335,0.00321034288856026,0.00597838606567106,0.00990270055860989,5858.92195166327,0.999726886157389,"binnedQe",1,TRUE,300,3000
0.134228741069296,0.107998177740726,0.132741633250108,0.168685510445848,5632.17846879651,0.999888653243784,"binnedQe",2,TRUE,300,3000
0.00239348291058936,5.72036125716128e-05,0.00169721966000172,0.00854467040765084,6978.66081523365,1.00030450491003,"binnedQe",3,TRUE,300,3000
0.0397999464222168,0.0274223669564799,0.0390129244298617,0.055589238763686,6155.43284856345,0.999973336178686,"binnedQe",4,TRUE,300,3000
