"mean","lower","upper","ESS","Rhat","var","ivar","converged","ess.thres","nwarm"
1.39379436940655,1.10206774570755,1.73206142272052,6660.31076293434,1.00000982053154,"omega",1,TRUE,300,3000
0.0524555231841667,0.0269650547195646,0.0832777600913335,6942.23916788927,0.999674007415256,"theta",1,TRUE,300,3000
0.922041173735615,0.748393780270653,0.997738570945788,5314.09156791615,1.00024352634315,"lambda",1,TRUE,300,3000
0.185703732653794,0.123580268476325,0.265371816180795,5487.20690429337,1.0004789538892,"lambda",2,TRUE,300,3000
0.0696572881799718,0.0434961916482899,0.104528381339761,5813.42354096153,1.00058961864882,"lambda",3,TRUE,300,3000
0.219781763928692,0.152183178055951,0.302168775652018,4343.15359807148,1.00050281900043,"lambda",4,TRUE,300,3000
0.533146094735835,0.383480152437353,0.70652120720954,3694.57689105518,1.0010031405101,"lambda",5,TRUE,300,3000
0.318929515912668,0.228560000671621,0.424513785467838,3531.69044007852,1.00111679225779,"lambda",6,TRUE,300,3000
0.140970020139031,0.0965807618812633,0.194488038884335,4010.87218525335,1.00129637566571,"lambda",7,TRUE,300,3000
0.741524955454546,0.544655445289413,0.945945550897021,2988.82819528431,1.00143349356667,"lambda",8,TRUE,300,3000
0.106459232735183,0.0710917268838647,0.149291179183249,4098.79318306627,1.00120270080033,"lambda",9,TRUE,300,3000
0.408163186124417,0.290696357183298,0.54910428329585,3218.99573943644,1.00143189600121,"lambda",10,TRUE,300,3000
0.13592296241845,0.0931766882647696,0.189002998271362,3820.82247801685,1.00092028446895,"lambda",11,TRUE,300,3000
0.313836138150611,0.222092203750817,0.423042018715014,3352.13031155454,1.00095996569667,"lambda",12,TRUE,300,3000
0.0862483105371781,0.0556311515650655,0.12355568521815,3987.1047596612,1.00095603127792,"lambda",13,TRUE,300,3000
0.420601174165033,0.301126975451002,0.55590913989746,3028.91080423252,1.00131842070768,"lambda",14,TRUE,300,3000
0.216709044241063,0.149740991207942,0.296955265145118,3411.29049573385,1.00038120332119,"lambda",15,TRUE,300,3000
0.213932478572506,0.147631482854028,0.292345505058197,3274.95709754174,1.00148291621197,"lambda",16,TRUE,300,3000
0.0533394613927786,0.0327465250885217,0.0797014049359649,4294.45295176955,1.00039450575673,"lambda",17,TRUE,300,3000
0.260064794193494,0.185373112545152,0.348962016282237,3541.10643108426,1.0003895032756,"lambda",18,TRUE,300,3000
0.259622057175016,0.186002680656587,0.345374449427428,3687.55035328177,1.00088041741317,"lambda",19,TRUE,300,3000
0.145889461868923,0.101704891551274,0.199164120542589,3357.55325241062,1.00125882992743,"lambda",20,TRUE,300,3000
0.0838518137024205,0.0555461676514483,0.118915284647418,4000.93008381591,1.00031663015459,"lambda",21,TRUE,300,3000
0.418590939749344,0.304229203489663,0.546725216631509,3191.36414418734,1.00054750430937,"lambda",22,TRUE,300,3000
0.291423326282999,0.208270366307134,0.387892379605773,3090.75054792058,1.00083486778169,"lambda",23,TRUE,300,3000
0.119776806154495,0.0814389800594043,0.166801201397652,3350.00079914425,1.00099658752439,"lambda",24,TRUE,300,3000
0.057879519075189,0.0375537835103809,0.0846198385556126,3651.37250188536,1.00068358125136,"lambda",25,TRUE,300,3000
0.100241860496463,0.0675884912711042,0.141008883673734,3415.35317951858,1.00069080424878,"lambda",26,TRUE,300,3000
0.0737010857972186,0.0480090803483907,0.105652456911915,3808.88329155904,1.00072353092753,"lambda",27,TRUE,300,3000
0.107110749409286,0.0720184669904756,0.151427904966825,3550.8288795559,1.00080013881319,"lambda",28,TRUE,300,3000
0.210762131751518,0.147380248916963,0.290122630909193,3208.79059923192,1.0007980969205,"lambda",29,TRUE,300,3000
0.0357683979670096,0.0218114040529328,0.054592177557663,3664.93830316463,1.0011073500377,"lambda",30,TRUE,300,3000
0.0576218806805166,0.0373754631432094,0.0844139711922587,3815.27090963583,1.00051777335753,"lambda",31,TRUE,300,3000
0.074480828433776,0.0495902253751446,0.10664791693302,3634.10224594975,1.00032304265895,"lambda",32,TRUE,300,3000
0.0537224090938106,0.0350578080599278,0.0787462688892151,3814.84672228551,1.00070065246411,"lambda",33,TRUE,300,3000
0.0475113692250917,0.0308130481373494,0.0701500120558524,3995.16009304794,1.00023015113747,"lambda",34,TRUE,300,3000
0.0311326691545445,0.0192011441485846,0.0475328070519373,4468.66544024165,1.00045210073058,"lambda",35,TRUE,300,3000
0.146169077457058,0.101764769266197,0.202845194868626,3575.95797408806,1.00127930667422,"lambda",36,TRUE,300,3000
0.0322439272271787,0.0202535891350016,0.0479956242876074,3956.81930731421,0.999789702330919,"lambda",37,TRUE,300,3000
0.0566231641980434,0.037474021249119,0.0815628365009581,3676.1172633132,1.00082023789445,"lambda",38,TRUE,300,3000
0.113892158575379,0.0531201391970327,0.174194040049623,3810.99327371971,1.00062437084679,"binnedK",1,TRUE,300,3000
0.0749246103080121,0.0217352052520609,0.149187600977729,6641.28124279194,0.999777087990463,"binnedK",2,TRUE,300,3000
0.0668244745801796,0.0213241894975228,0.158376796890925,7135.10853992189,1.00026574229547,"binnedK",3,TRUE,300,3000
0.278774121016968,0.0551215443078075,0.568990685136951,6004.04047524413,1.0000904196807,"binnedK",4,TRUE,300,3000
0.138608388303443,0.000834431435225266,0.438987909651446,6499.76248939947,0.999676026882523,"binnedK",5,TRUE,300,3000
0.232283893664126,0.0261614400881996,0.529321570901609,5679.69291324952,1.00018363567097,"binnedK",6,TRUE,300,3000
0.113945568710289,0.0055516110138466,0.384773942148659,6648.22067277254,0.999815345848438,"binnedK",7,TRUE,300,3000
