"mean","lower","mid","upper","ESS","Rhat","var","ivar","converged","ess.thres","nwarm"
1.35355131421181,1.02604508601889,1.32431805206816,1.84580448203218,6890.90971819373,0.99992366757316,"omega",1,TRUE,300,3000
0.316054770304595,0.251365954576612,0.314912406944691,0.386473785488829,6661.33151736648,1.00016416241963,"theta",1,TRUE,300,3000
0.0619327741623888,0.0503366171569339,0.0619479026503128,0.0732616336270114,6986.71899635028,1.00076593364366,"lambda",1,TRUE,300,3000
0.0830398365291842,0.0013040321189793,0.0808501036792328,0.187170662492593,6160.46953690033,1.00014890926996,"lambda",2,TRUE,300,3000
0.0921954320534986,0.00323075296938905,0.0879410068562645,0.210397062476241,6058.39305743583,0.999960093311695,"lambda",3,TRUE,300,3000
0.0771278658745229,0.0261387473841019,0.0703668066530947,0.161816706858303,6386.58520915742,0.999779671382458,"lambda",4,TRUE,300,3000
0.0124866593218532,0.00584715710854648,0.0105066110163204,0.0303824307687058,7042.32098403284,0.999887290628931,"lambda",5,TRUE,300,3000
0.0181442174649625,0.00717441880920515,0.0150613292169339,0.0465499672780315,7194.43604317231,1.00039917023553,"lambda",6,TRUE,300,3000
0.0621603253950555,0.0145349422879448,0.0580972513200109,0.13357180261654,6786.80078157808,0.999971971630952,"lambda",7,TRUE,300,3000
0.018266813262479,0.0028958884602409,0.0155091088755285,0.0495351601927803,7008.58938198412,0.99993190216359,"lambda",8,TRUE,300,3000
0.00722495592972165,0.00307001531373826,0.00598174606653994,0.0189484898447524,7286.0589046853,0.999769051110277,"lambda",9,TRUE,300,3000
0.0204564741917461,0.0119967989409948,0.0197564890283626,0.0325983267800314,7236.85606460054,1.0001377243569,"lambda",10,TRUE,300,3000
0.0050402214894779,0.00327797227412954,0.00475006933709014,0.00835627901327441,6718.59775138691,0.999947596980093,"lambda",11,TRUE,300,3000
0.00609350727769172,0.00315954654556641,0.005812908679762,0.0105465711670277,6852.53640589859,0.999744660742671,"lambda",12,TRUE,300,3000
0.00574295200241072,0.00391126927386533,0.00548130104015362,0.00919477870795307,7024.78344977675,0.999744329910066,"lambda",13,TRUE,300,3000
0.0033453231074911,0.00212576429394069,0.00316335362284222,0.00555131658467982,6349.98455349551,1.00025676619346,"lambda",14,TRUE,300,3000
0.00754177763777993,0.00449749368031028,0.00729253278189133,0.0123043116160558,6254.0741963946,1.00006833058933,"lambda",15,TRUE,300,3000
0.00518912650843613,0.0031011546749874,0.00499474390949014,0.00850895322985126,6050.58865913643,0.999935775802524,"lambda",16,TRUE,300,3000
0.0253190467138361,0.00142723359584977,0.0041987338185889,0.280772098316312,5110.9600359365,1.00076824792451,"binnedPhiT",1,TRUE,300,3000
0.0255034589150719,0.00257976506506999,0.00747861807381255,0.218023625063419,5851.47212303444,1.0005979749606,"binnedPhiT",2,TRUE,300,3000
0.0517779693558135,0.0159884252983762,0.0431397953911862,0.135426542495392,6671.46909215269,0.99986819151532,"binnedPhiT",3,TRUE,300,3000
0.617604367788996,0.205424234047506,0.624885622041711,0.97922092942916,7096.81047774775,0.999887479835616,"binnedPhiT",4,TRUE,300,3000
0.51050477693952,0.139008741281207,0.483089637197899,0.96577418814776,6977.33324537097,0.999985765360073,"binnedPhiT",5,TRUE,300,3000
0.0695815588942134,0.019001565029318,0.0511348504855514,0.238556460749684,5242.03047099672,1.00018867294476,"binnedPhiT",6,TRUE,300,3000
0.216251510264512,0.0404429956267762,0.147330327962302,0.807282905697096,6690.99960700592,0.999967924611836,"binnedPhiT",7,TRUE,300,3000
0.564936904118742,0.164787694229612,0.552378313412866,0.973388462963147,7310.43564620472,0.999798961803183,"binnedPhiT",8,TRUE,300,3000
0.407840648478635,0.208263453826604,0.388679962774064,0.717240814682019,7270.34929860214,0.999916192679465,"binnedPhiT",9,TRUE,300,3000
0.0962410338720983,0.0498392006424972,0.0928395004609185,0.160820998735176,7215.28225485071,1.00011137764563,"binnedPhiT",10,TRUE,300,3000
0.741870368794491,0.383471172450786,0.762795338132186,0.988745825878984,6590.26032280006,1.00003965540648,"binnedPhiT",11,TRUE,300,3000
0.2353987795202,0.108575503207036,0.220750990905126,0.445781266840341,6770.5024796937,0.99973878038327,"binnedPhiT",12,TRUE,300,3000
0.159261768033383,0.082443668588406,0.154638093244437,0.265194468416626,6612.44054337456,0.999644848301705,"binnedPhiT",13,TRUE,300,3000
0.771062065125924,0.423865253235993,0.796258932129467,0.991245928552954,6577.89898450077,0.999840136251815,"binnedPhiT",14,TRUE,300,3000
0.758454713283282,0.42475224797853,0.777343695794213,0.988715045011206,6399.64118323167,1.00013499918231,"binnedPhiT",15,TRUE,300,3000
0.456785218729078,0.239938106846867,0.446485003350821,0.732620704659117,5931.91217472781,1.00011766278918,"binnedPhiT",16,TRUE,300,3000
0.0513122980389468,0.0330433607796165,0.0505906506730739,0.0736876085245964,6538.72864299521,0.999671937600202,"binnedQe",1,TRUE,300,3000
0.91232821548954,0.728666903344544,0.931529080463312,0.997433633344302,7184.83284386198,0.999834173504177,"binnedQe",2,TRUE,300,3000
0.0252027114090972,0.000652693197679778,0.0173461578616545,0.0920901604848651,6515.43045239013,0.999686891983382,"binnedQe",3,TRUE,300,3000
0.251182986208959,0.158323095134069,0.2493007543024,0.354601561014608,7038.73280825468,1.00047790017456,"binnedQe",4,TRUE,300,3000
