"1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
2,1,0,1,2,0,14,1,2,8,0,3,3,5,10,5,8,17,0,0,1,3,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0
-1,-1,-1,-1,5,1,8,0,1,12,1,4,1,3,7,7,11,21,2,0,1,0,0,0,0,1,2,0,1,1,1,0,1,0,0,0,0
16,6,8,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,7,1,28,1,6,15,1,11,3,6,20,7,17,35,2,3,3,5,0,0,0,0,1,1,2,1,1,1,1,0,0,0,0
-1,-1,-1,-1,12,5,24,3,4,23,2,7,6,6,27,8,25,42,2,5,3,8,3,1,1,1,2,0,0,2,1,2,3,3,0,0,0
-1,-1,-1,-1,7,4,38,7,6,19,1,18,9,18,37,7,26,51,4,8,2,12,2,1,2,2,3,0,2,0,0,2,3,0,0,1,0
-1,-1,-1,-1,14,7,33,1,2,23,2,13,6,19,28,13,26,40,0,8,7,15,2,2,3,2,1,0,2,0,0,0,2,0,0,0,1
17,7,14,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,10,8,34,4,3,34,3,20,5,12,28,13,32,57,5,15,7,19,5,7,2,3,1,0,1,2,1,3,0,1,1,0,1
-1,-1,-1,-1,27,10,74,9,8,100,15,67,25,54,92,30,81,166,8,30,25,43,23,10,13,2,3,4,3,3,2,8,11,2,5,2,0
5,2,6,7,20,12,59,13,0,82,9,75,14,47,99,33,70,175,8,42,26,56,26,10,19,12,18,12,8,12,1,22,14,7,7,2,7
0,1,1,0,7,0,8,2,1,19,4,15,0,5,24,1,10,60,6,20,19,32,9,15,14,8,12,12,15,19,7,17,25,3,6,5,3
0,0,0,0,0,0,2,1,0,7,0,2,1,0,6,2,2,10,0,8,5,11,4,8,6,4,6,5,10,16,11,11,10,3,8,3,3
0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,2,4,3,1,0,1,6,0,1,4,1,0,0,3,4,4,3,9,0,1,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,5,0,0,0,0,5,2,4,7,5,2,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,2,1,0,0,0,1,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0
