"t","ag"
21,13
28,12
29,6
30,6
30,13
32,1
32,2
32,4
32,5
32,6
32,7
32,9
32,10
32,11
32,12
32,13
32,14
32,15
32,16
33,1
33,2
33,4
33,5
33,6
33,7
33,10
33,11
33,12
33,14
34,1
34,2
35,1
35,2
35,4
36,1
36,2
36,4
37,1
37,2
37,4
