"t","ag"
1,3
1,8
2,8
2,13
2,16
2,17
3,11
3,13
3,14
3,16
3,17
4,3
4,8
4,11
5,7
5,10
6,4
6,5
6,10
7,2
7,10
7,11
8,9
8,10
9,4
9,7
9,10
9,11
10,7
10,10
11,5
11,10
12,5
12,10
12,11
13,7
13,10
13,11
14,5
14,10
14,11
15,10
16,6
16,10
16,11
17,10
17,11
18,6
18,10
18,11
19,7
19,10
20,10
20,13
21,7
21,10
21,11
22,9
22,10
22,11
23,4
23,6
23,10
24,6
24,7
24,10
24,11
24,12
25,5
25,6
25,9
25,10
25,11
26,9
26,10
26,11
27,7
27,10
27,11
28,7
28,10
29,10
30,7
30,10
30,11
31,7
31,9
31,10
31,11
32,9
32,10
32,11
33,1
33,7
33,10
33,13
34,10
34,11
35,4
35,10
35,11
36,7
36,10
36,11
36,14
37,10
37,11
