"t","ag"
1,11
28,15
29,1
29,2
29,4
29,5
29,6
29,7
29,9
29,10
29,11
29,12
30,1
30,2
30,6
30,13
31,1
31,2
31,11
31,12
31,13
32,1
32,2
33,1
33,2
33,13
34,1
34,2
34,4
35,1
35,2
35,4
35,5
36,1
36,2
36,10
37,1
37,2
