"t","ag"
1,8
2,8
4,8
4,11
5,9
5,10
5,17
6,10
7,6
7,10
8,10
8,15
9,7
9,9
9,10
10,9
10,10
11,5
11,10
12,10
12,11
13,10
13,11
14,10
14,11
15,7
15,10
15,11
16,4
17,10
17,11
18,4
18,10
18,11
19,10
20,10
21,10
22,6
22,10
23,10
24,10
24,11
25,6
25,10
25,11
26,6
26,7
26,10
26,11
27,9
27,10
27,12
28,10
28,11
29,9
29,10
29,11
30,10
31,6
31,10
31,11
32,6
32,10
33,10
34,10
34,11
35,6
35,7
35,10
35,14
36,10
36,11
36,12
37,10
37,11
