"elpd_diff","se_diff","rank","dataver","model","province"
0,0,1,"DHF_add","m3h.rtQeT","Songkhla"
-1.32679487401482,3.32303199723677,1,"DHF_add","m1h.rtaQeT","Songkhla"
-2.54416260495519,2.56122831293944,1,"DHF_add","m3h.rtaQeT","Songkhla"
-16.3741587633379,5.43079706069799,2,"DHF_add","m3h.rta","Songkhla"
-17.7023516428138,5.33979079313649,3,"DHF_add","m3h.rt","Songkhla"
-19.578598478481,6.56822907949176,4,"DHF_add","m1h.rta","Songkhla"
-31.7579523876025,8.47894689215106,5,"DHF_add","m1h.rtQeT","Songkhla"
-78.6562442796941,11.8924083908098,6,"DHF_add","m1h.rt","Songkhla"
-103.738309206143,16.262938547623,7,"DHF_add","m3h.rAT","Songkhla"
-105.215080050818,16.0749325063404,8,"DHF_add","m3h.rATQeT","Songkhla"
-109.8335409812,16.0900954455253,9,"DHF_add","m1h.raQeT","Songkhla"
-111.910585672185,16.6018007658112,10,"DHF_add","m1h.rAT","Songkhla"
-112.677504555413,16.35013075272,11,"DHF_add","m1h.rATQeT","Songkhla"
-115.078998741378,16.190388837949,12,"DHF_add","m3h.raQeT","Songkhla"
-142.822218962867,15.5175263753698,13,"DHF_add","m1h.ra","Songkhla"
-143.386841568753,15.4719138174239,14,"DHF_add","m3h.ra","Songkhla"
-155.11159927395,15.6184566003157,15,"DHF_add","m3h","Songkhla"
-209.189771685304,17.2037961152815,16,"DHF_add","m1h","Songkhla"
