"elpd_diff","se_diff","rank","dataver","model","province"
0,0,1,"DHF_add","m3h.rtaQeT","Buriram"
-10.8691974411377,5.91351281930628,1,"DHF_add","m3h.rta","Buriram"
-11.857935599329,5.86974570175422,2,"DHF_add","m1h.rtaQeT","Buriram"
-12.4289229536585,4.7828708141533,3,"DHF_add","m3h.rtQeT","Buriram"
-18.9912451770365,7.68125892726974,4,"DHF_add","m1h.rta","Buriram"
-24.2189024873208,7.22836625385708,5,"DHF_add","m3h.rt","Buriram"
-100.708831867062,15.1003218543259,6,"DHF_add","m3h.rAT","Buriram"
-102.944009762987,15.0655452968779,7,"DHF_add","m3h.rATQeT","Buriram"
-111.838827020869,15.149853198779,8,"DHF_add","m3h.raQeT","Buriram"
-112.927149288004,15.5355126323747,9,"DHF_add","m1h.raQeT","Buriram"
-119.88162465855,16.1177507210573,10,"DHF_add","m1h.rAT","Buriram"
-119.955459516351,16.0057399794011,11,"DHF_add","m1h.rATQeT","Buriram"
-139.319326449738,17.0341216465119,12,"DHF_add","m1h.ra","Buriram"
-146.36090178618,16.311076262295,13,"DHF_add","m1h.rtQeT","Buriram"
-162.267724832415,17.4400632181379,14,"DHF_add","m3h","Buriram"
-188.83413502315,17.1247882070134,15,"DHF_add","m1h.rt","Buriram"
-286.811463118351,19.8306762472415,16,"DHF_add","m1h","Buriram"
