"elpd_diff","se_diff","rank","dataver","model","province"
0,0,1,"DHF_add","m1h.rtaQeT","Lampang"
-1.63246394860891,3.44386381995069,1,"DHF_add","m3h.rtQeT","Lampang"
-1.65385399178541,4.09527003647581,1,"DHF_add","m1h.rta","Lampang"
-1.68661681842844,3.54843552818631,1,"DHF_add","m3h.rtaQeT","Lampang"
-2.40180313836631,4.75806138018063,1,"DHF_add","m3h.rt","Lampang"
-3.9559303424707,4.68481769467677,1,"DHF_add","m3h.rta","Lampang"
-13.2867918195695,5.18727597932469,2,"DHF_add","m1h.rtQeT","Lampang"
-18.4816290268953,6.80462543757978,3,"DHF_add","m1h.rt","Lampang"
-28.7839315823371,8.50326544209099,4,"DHF_add","m1h.rATQeT","Lampang"
-29.5239739410253,8.7251830884341,5,"DHF_add","m1h.rAT","Lampang"
-30.8936121871637,8.6986435263008,6,"DHF_add","m3h.rAT","Lampang"
-39.0305118598369,7.46656501831229,7,"DHF_add","m1h.raQeT","Lampang"
-41.646451445417,8.33262040843003,8,"DHF_add","m3h.raQeT","Lampang"
-53.4344923251346,9.2034776212213,9,"DHF_add","m1h.ra","Lampang"
-65.289680669319,9.9453373068848,10,"DHF_add","m3h","Lampang"
-76.8067570116747,10.6789267252592,11,"DHF_add","m1h","Lampang"
