"mean","lower","upper","ESS","Rhat","var","ivar","converged","ess.thres","nwarm"
1.43715049486233,1.11005266266749,1.85538359553111,7049.92560288087,1.00024279118565,"omega",1,TRUE,300,3000
0.0852703531995678,0.0626369728471163,0.112564657929946,6877.38449345382,1.00050177091282,"theta",1,TRUE,300,3000
0.0985845717435801,0.0873892956894966,0.110567364160576,5756.15530630859,1.00026700780992,"lambda",1,TRUE,300,3000
0.00918496587660658,0.00544422749073196,0.0145504114021643,6599.47104883579,0.999970037591307,"lambda",2,TRUE,300,3000
0.0152851509468382,0.00949379747015059,0.0230197137894131,6833.72591677753,0.999958877744695,"lambda",3,TRUE,300,3000
0.00540487635611425,0.00321033080529344,0.00839806696090363,7002.03441147843,0.999804574077885,"lambda",4,TRUE,300,3000
0.0662061407476636,0.047133695395641,0.0885089801267539,6346.87474539957,1.00006926086006,"lambda",5,TRUE,300,3000
0.0276821263364575,0.0193218394223673,0.0378200797886908,6686.17332220918,0.999665113878512,"lambda",6,TRUE,300,3000
0.024492517213823,0.0171304585443029,0.0332241196302506,6909.73654478931,0.99968684546365,"lambda",7,TRUE,300,3000
0.176252620246679,0.123968413957404,0.235637078305949,6438.53934824682,0.999679442613873,"lambda",8,TRUE,300,3000
0.00349479039984793,0.00209839421917353,0.00552525371191038,7086.1370163579,0.99962921512771,"lambda",9,TRUE,300,3000
0.0437723643723841,0.0301560259938552,0.0612721448599489,6605.82432691781,0.999594377523844,"lambda",10,TRUE,300,3000
0.0513779806285978,0.0341406106185305,0.0737771679368456,5706.66083060349,1.00037938794459,"lambda",11,TRUE,300,3000
0.016069909727199,0.0105562145348333,0.0233687727349146,5864.11473927496,1.00027019527341,"lambda",12,TRUE,300,3000
0.0172934369791268,0.0115591168844963,0.0248653007690232,5849.35628764759,1.00087119320611,"lambda",13,TRUE,300,3000
0.0430400307473295,0.030099463998092,0.0597065425945779,5759.7875159867,1.00085329793669,"lambda",14,TRUE,300,3000
0.00759646627526683,0.00500143220584365,0.010949330813759,5392.67569436482,1.00008066112376,"lambda",15,TRUE,300,3000
