"elpd_diff","se_diff","rank","dataver","model","province"
0,0,1,"DHF_add","m3h.rtaQeT","MahaSarakham"
-41.6099792662351,9.13006222787488,2,"DHF_add","m3h.raQeT","MahaSarakham"
-55.818816971821,9.90549478391016,3,"DHF_add","m3h.rta","MahaSarakham"
-59.0070386980075,10.6240510571656,4,"DHF_add","m3h.rATQeT","MahaSarakham"
-66.1767047563675,11.5507978901394,5,"DHF_add","m3h.rAT","MahaSarakham"
-76.4129223679769,10.8041239836419,6,"DHF_add","m3h.rtQeT","MahaSarakham"
-103.855814860621,13.615560545384,7,"DHF_add","m3hQeT","MahaSarakham"
-104.920653023765,13.3930472703764,8,"DHF_add","m1h.rtaQeT","MahaSarakham"
-129.373323858513,14.3902020502452,9,"DHF_add","m1h.raQeT","MahaSarakham"
-136.029706148254,16.2343695309354,10,"DHF_add","m3h.ra","MahaSarakham"
-144.003523940495,15.6910271453303,11,"DHF_add","m1h.rta","MahaSarakham"
-146.18717426055,17.5834185206414,12,"DHF_add","m3h.rt","MahaSarakham"
-171.0109450101,15.8532746290044,13,"DHF_add","m1h.rATQeT","MahaSarakham"
-178.064411549833,16.036393505015,14,"DHF_add","m1h.rAT","MahaSarakham"
-178.583313473848,17.1836778958846,15,"DHF_add","m1h.ra","MahaSarakham"
-206.678996308438,19.8190873106789,16,"DHF_add","m3h","MahaSarakham"
-314.714731902073,20.5119576475972,17,"DHF_add","m1h.rtQeT","MahaSarakham"
-391.052920438419,22.9377904916479,18,"DHF_add","m1h.rt","MahaSarakham"
-401.406744505785,23.6849869856794,19,"DHF_add","m1h","MahaSarakham"
