"elpd_diff","se_diff","rank","dataver","model","province"
0,0,1,"DHF_add","m3h.rtaQeT","Phichit"
-20.5078297315697,11.3481310364575,1,"DHF_add","m3h.rAT","Phichit"
-20.9996057326156,10.9447715223482,1,"DHF_add","m3h.rATQeT","Phichit"
-37.3858329216444,11.4231833710348,2,"DHF_add","m3h.rtQeT","Phichit"
-40.7477325029858,11.2257633733127,3,"DHF_add","m3h.rta","Phichit"
-43.2843734973202,9.32752593222779,4,"DHF_add","m3h.raQeT","Phichit"
-46.7030446809257,13.1762658204172,5,"DHF_add","m1h.rtaQeT","Phichit"
-62.2018157949392,14.559103379834,6,"DHF_add","m1h.rATQeT","Phichit"
-63.9595697477229,13.9948417595527,7,"DHF_add","m3h.rt","Phichit"
-69.2473613685254,14.8029734267531,8,"DHF_add","m1h.rAT","Phichit"
-73.487136721944,15.5388711750116,9,"DHF_add","m1h.rta","Phichit"
-85.8354977647204,14.4772077910414,10,"DHF_add","m1h.raQeT","Phichit"
-111.863701790325,15.6368715901716,11,"DHF_add","m3h.ra","Phichit"
-136.908543373153,17.3004383436536,12,"DHF_add","m1h.ra","Phichit"
-155.294241206998,17.9573104721248,13,"DHF_add","m3h","Phichit"
-206.243335087432,19.852519368531,14,"DHF_add","m1h.rtQeT","Phichit"
-272.397046563428,21.6770441166748,15,"DHF_add","m1h.rt","Phichit"
-322.159912221657,21.5181115945894,16,"DHF_add","m1h","Phichit"
