"elpd_diff","se_diff","rank","dataver","model","province"
0,0,1,"DHF_add","m3h.rtaQeT","Lampang"
-6.13336146284027,6.17739405908451,1,"DHF_add","m3h.rtQeT","Lampang"
-7.47988289912525,8.35579245874351,1,"DHF_add","m3h.rta","Lampang"
-11.9006098619083,9.5277267943457,1,"DHF_add","m3h.rt","Lampang"
-16.8622280769017,6.37860313609387,2,"DHF_add","m1h.rtaQeT","Lampang"
-16.9848141938927,9.80455161623426,2,"DHF_add","m1h.rta","Lampang"
-23.0985313294301,5.28864595780711,3,"DHF_add","m3h.raQeT","Lampang"
-26.7511805295608,6.53601190061798,4,"DHF_add","m1h.raQeT","Lampang"
-30.9692817845306,8.79725905238161,5,"DHF_add","m3h.ra","Lampang"
-31.945943199409,6.29051822454918,6,"DHF_add","m3h.rATQeT","Lampang"
-32.4821019472237,6.82487569304434,7,"DHF_add","m3h.rAT","Lampang"
-34.7858449200703,9.47749603418977,8,"DHF_add","m1h.ra","Lampang"
-41.7558535901385,9.44299679088001,9,"DHF_add","m1h.rAT","Lampang"
-49.5518189348304,9.02725411397136,10,"DHF_add","m1h.rATQeT","Lampang"
-49.6773971913804,9.84531838232049,11,"DHF_add","m3h","Lampang"
-74.413619239994,12.4580479448135,12,"DHF_add","m1h.rtQeT","Lampang"
-78.2553020350104,11.0527646558947,13,"DHF_add","m3hQeT","Lampang"
-100.149072111093,14.2107312214545,14,"DHF_add","m1h.rt","Lampang"
-124.2727996547,13.8124382750921,15,"DHF_add","m1hQeT","Lampang"
-137.546161543376,14.8307567602323,16,"DHF_add","m1h","Lampang"
