"mean","lower","mid","upper","ESS","Rhat","var","ivar","converged","ess.thres","nwarm"
1.90597288565725,1.23118294230373,1.86374184196994,2.80864977627321,7135.19281856572,1.00058318366218,"omega",1,TRUE,300,3000
0.63561805154974,0.529781109999499,0.633072924830357,0.753483625120167,6860.43579019537,1.00052086901025,"theta",1,TRUE,300,3000
0.0992798956415727,0.0839377089324265,0.0991541930762843,0.114899937711315,7143.72673176153,0.999603469373648,"lambda",1,TRUE,300,3000
0.0437928374123338,0.0248869828359644,0.0421754633272078,0.0718054766271188,7017.01524627674,1.00048197033975,"lambda",2,TRUE,300,3000
0.0403360513477679,0.0231435652464516,0.0392738110873862,0.065017951584815,6989.86850417027,1.00010455143385,"lambda",3,TRUE,300,3000
0.0755428407861802,0.0514244100058369,0.0742192586712693,0.106744921663425,6457.91431450939,0.999944950269835,"lambda",4,TRUE,300,3000
0.118675120481552,0.083372783955303,0.11769868317823,0.159391965160331,6729.35053722734,1.00065629530055,"lambda",5,TRUE,300,3000
0.0520772826898434,0.0338308519429756,0.051175934962729,0.0754401458231492,6572.74066915372,0.999870451965667,"lambda",6,TRUE,300,3000
0.0402057566208269,0.0245581946342903,0.0392903448124121,0.0603136896686372,7172.771702802,0.999786827727558,"lambda",7,TRUE,300,3000
0.0671493111140797,0.0420033351805637,0.0661841007089297,0.0980623624894309,6704.79026646209,0.999819326420352,"lambda",8,TRUE,300,3000
0.0249089840038297,0.0147519749450988,0.0241441845408473,0.0390318851244995,7007.72436240131,0.99991402372839,"lambda",9,TRUE,300,3000
0.0448788051769594,0.0283502566305355,0.0440018933607367,0.0668730583726494,6852.93235326704,0.999866733664155,"lambda",10,TRUE,300,3000
0.013950668767656,0.00883549182747538,0.0135961279307615,0.0213593726433867,7052.43371412673,1.00081267111455,"lambda",11,TRUE,300,3000
0.0168452802057321,0.0108471130214891,0.0164601751387417,0.0252788604053048,7134.36199050579,1.00024898894674,"lambda",12,TRUE,300,3000
0.00613231779991495,0.00393034637297189,0.00599169554285388,0.00912223346252985,6970.84688623602,1.00013413237366,"lambda",13,TRUE,300,3000
0.0147407354471566,0.0100573489775799,0.0145288078220238,0.020463762534361,7196.02611962746,1.00001229595631,"lambda",14,TRUE,300,3000
0.0171525290648497,0.0119172197119177,0.0169064903367143,0.0238439909981614,7251.04468958714,0.999869911523387,"lambda",15,TRUE,300,3000
0.00678893269894948,0.0044754978023016,0.00663958418940073,0.00995382303005088,7256.35370693564,0.999894317998909,"lambda",16,TRUE,300,3000
0.0409687328787033,0.0279387169672098,0.0400054271941381,0.0593202686860932,6576.70778484862,0.999786314650797,"binnedPhiA",1,TRUE,300,3000
0.0671084387291841,0.0495984350671451,0.065961985222329,0.0907488906446009,6396.81903731389,0.999824934232597,"binnedPhiA",2,TRUE,300,3000
0.127320304297888,0.0832520704068178,0.125088777434987,0.184755893096235,6646.37099647259,1.00048947294541,"binnedPhiA",3,TRUE,300,3000
0.0994897254714814,0.040021756590187,0.097883861996821,0.169243701986547,7924.26598942028,0.999923726608496,"binnedPhiA",4,TRUE,300,3000
0.0301057764070243,0.00106992481094278,0.0247274888954528,0.0873455468873188,6795.74408096662,0.999878787666725,"binnedPhiA",5,TRUE,300,3000
0.0888567637305501,0.00779683642223166,0.0863283978147013,0.18825874888124,7165.09810526111,0.999791703544425,"binnedPhiA",6,TRUE,300,3000
0.0539935333120473,0.00235943643796081,0.0474090432609377,0.141644677910001,6810.30393219089,1.00007801192781,"binnedPhiA",7,TRUE,300,3000
0.0735681768800694,0.00315687445272569,0.062971044625663,0.199255975250151,6818.9866211856,1.0002816992891,"binnedPhiA",8,TRUE,300,3000
0.135318182151998,0.00469647228917193,0.109541539400786,0.401961818560298,6846.33149141998,1.00017234268956,"binnedPhiA",9,TRUE,300,3000
0.112655323576108,0.00485188991153251,0.100288735760461,0.294077101398425,6948.02924166954,0.99972696351934,"binnedPhiA",10,TRUE,300,3000
0.216231030075179,0.00992674763523189,0.193806463226833,0.559673543308166,7214.96695050715,1.00012596432926,"binnedPhiA",11,TRUE,300,3000
0.281197554507099,0.0128890580134338,0.251385467663826,0.734150518962379,6744.18369329898,0.999831100664918,"binnedPhiA",12,TRUE,300,3000
0.34316584965969,0.015588233192826,0.310439855839996,0.850484521203881,6397.85012684789,1.00005376354373,"binnedPhiA",13,TRUE,300,3000
0.461821466362489,0.0269069264112894,0.442972518860114,0.96064925794753,7220.12758043975,0.999979489176442,"binnedPhiA",14,TRUE,300,3000
0.574145593220818,0.0859751028343573,0.590145091211756,0.974305709926502,7299.03829560877,1.00021499561278,"binnedPhiA",15,TRUE,300,3000
0.877839964647332,0.604987346137657,0.90539176133084,0.996520214541637,6806.557162999,0.999854554484286,"binnedPhiA",16,TRUE,300,3000
0.0734428209765884,0.00574724654452627,0.0635800051762918,0.200038578690388,6745.32693049846,0.999914771284661,"binnedQe",1,TRUE,300,3000
0.944265859010985,0.806390945425814,0.959206949021329,0.99825623225733,6755.90748729574,1.00028741967206,"binnedQe",2,TRUE,300,3000
0.0407221930386176,0.00121972186299757,0.0299467772250153,0.137993325106201,7213.81938364791,1.00044847179414,"binnedQe",3,TRUE,300,3000
0.0419909320128688,0.0137227759946358,0.0379648512397115,0.0929707429583861,7097.77158085046,0.999880182836049,"binnedQe",4,TRUE,300,3000
0.331639579105016,0.146246455366104,0.323927600960672,0.564444178381194,7416.95993543036,0.99970711972479,"binnedQe",5,TRUE,300,3000
