"1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
3570,3479,3406,3337,3253,3178,3091,3015,2921,2826,2720,2618,2509,2374,2267,2144,2018,1903,1775,1644,1535,1418,1296,1195,1077,955,861,775,698,629,563,512,460,415,382,343,317
4333,4255,4149,4061,3978,3879,3788,3686,3594,3483,3369,3242,3122,2991,2831,2703,2555,2407,2270,2117,1961,1830,1692,1547,1425,1285,1139,1028,926,834,752,673,613,550,496,457,410
4337,4276,4201,4094,4008,3927,3828,3740,3637,3548,3437,3326,3201,3080,2952,2793,2668,2522,2374,2240,2088,1934,1806,1668,1525,1406,1267,1123,1013,912,822,740,663,603,541,489,449
4915,4844,4777,4692,4573,4478,4386,4276,4178,4063,3963,3840,3716,3576,3441,3299,3121,2981,2819,2653,2502,2333,2162,2019,1864,1704,1571,1415,1255,1131,1019,918,827,741,673,605,546
4578,4520,4455,4394,4316,4207,4118,4034,3933,3843,3737,3645,3532,3417,3289,3165,3034,2870,2741,2592,2440,2301,2146,1988,1856,1715,1568,1445,1302,1154,1041,938,845,761,682,620,556
4665,4600,4543,4478,4415,4338,4227,4138,4055,3952,3862,3755,3663,3549,3435,3305,3181,3049,2884,2755,2605,2452,2313,2157,1998,1865,1723,1575,1452,1308,1160,1045,942,848,764,685,622
5892,5794,5713,5643,5560,5484,5386,5251,5140,5034,4909,4795,4665,4549,4408,4265,4104,3952,3787,3583,3422,3235,3048,2874,2680,2483,2317,2142,1959,1805,1627,1442,1302,1172,1056,952,852
5676,5605,5512,5436,5368,5290,5217,5125,4995,4890,4791,4669,4563,4437,4328,4193,4058,3906,3758,3602,3408,3255,3078,2897,2733,2548,2360,2204,2036,1861,1715,1546,1371,1236,1113,1002,903
7383,7319,7227,7108,7009,6922,6822,6727,6608,6441,6306,6177,6022,5883,5722,5581,5408,5232,5036,4847,4645,4395,4197,3969,3737,3524,3286,3044,2843,2626,2401,2213,1994,1768,1594,1436,1294
6398,6313,6259,6180,6078,5993,5919,5833,5753,5651,5508,5392,5282,5149,5031,4893,4773,4624,4475,4307,4145,3973,3758,3590,3395,3195,3014,2810,2604,2431,2246,2053,1892,1705,1512,1363,1228
