"mean","lower","upper","ESS","Rhat","var","ivar","converged","ess.thres","nwarm"
1.5743814779136,1.1946125847811,2.03835945222178,1372,1.00203376634434,"omega",1,TRUE,300,9000
0.051570349711835,0.0310088091563725,0.0757086976483398,1678,1.00194960989839,"theta",1,TRUE,300,9000
0.110712483234404,0.0942317763180612,0.126809900738496,1550,1.00199259149654,"lambda",1,TRUE,300,9000
0.00655983543731915,0.00369916092505358,0.0104528242147639,2321,1.0009048531151,"lambda",2,TRUE,300,9000
0.0113032258261088,0.0065619243130075,0.0171125703445686,1630,1.00082225786364,"lambda",3,TRUE,300,9000
0.0103599429268206,0.00656853191191463,0.0154737242974813,2710,1.00007975860224,"lambda",4,TRUE,300,9000
0.0532173694073488,0.0384313459559078,0.0698765075374699,2884,1.00040867027432,"lambda",5,TRUE,300,9000
0.0407438315334014,0.0295109725339836,0.0535367281930718,2741,1.0019459039699,"lambda",6,TRUE,300,9000
0.025746871107721,0.0186022257537915,0.0341583533071781,2550,1.00069079304738,"lambda",7,TRUE,300,9000
0.156954817409672,0.11650592999402,0.202063898264776,2787,1.00103713873628,"lambda",8,TRUE,300,9000
0.0158745711021001,0.0107222497116578,0.0224624305332688,2356,1.00107188267807,"lambda",9,TRUE,300,9000
0.0392397766046278,0.0275147492756975,0.0536365533659022,2797,1.00077587128838,"lambda",10,TRUE,300,9000
0.0655025620022625,0.0422544821926075,0.0966137940750841,1918,1.00121004113799,"lambda",11,TRUE,300,9000
0.00566222376433721,0.00337389896166174,0.00871293623081388,1730,1.00314096767164,"lambda",12,TRUE,300,9000
0.0234218085050259,0.0150245314138294,0.0341970079815027,2357,0.999977735962531,"lambda",13,TRUE,300,9000
0.0325684906938996,0.0215644737248235,0.0468947277138604,1685,1.00022035262072,"lambda",14,TRUE,300,9000
0.0126911046358221,0.00824276615453405,0.0183463821290836,2200,1.00029647531446,"lambda",15,TRUE,300,9000
0.0136710092106827,0.00905848838549472,0.0197428417646212,1795,1.000230017579,"lambda",16,TRUE,300,9000
0.0319174922374437,0.0218268920917627,0.0448860550919888,2235,1.00060895819886,"lambda",17,TRUE,300,9000
0.0424047094012151,0.0289019504083322,0.0598991195812167,2584,0.999935250057766,"lambda",18,TRUE,300,9000
0.023240137684944,0.0155019445853319,0.0339126317653396,2108,1.00030760891536,"lambda",19,TRUE,300,9000
0.0050455995019175,0.00285985219747375,0.00819541128267215,2427,0.999711068002269,"lambda",20,TRUE,300,9000
0.00863249977649141,0.00512832887476913,0.0132820499659369,2485,1.00039278613228,"lambda",21,TRUE,300,9000
0.0437411707854643,0.0278950250041007,0.0652854777643652,2305,1.0019137017133,"lambda",22,TRUE,300,9000
0.0363106308066021,0.0235839516606211,0.0542846199403113,2135,1.00225388086018,"lambda",23,TRUE,300,9000
0.0165686524784527,0.0105297592144583,0.0253148608743058,1821,1.0025449870664,"lambda",24,TRUE,300,9000
0.0114221681272078,0.0073372416134655,0.0172407320576282,2241,1.00226668434092,"lambda",25,TRUE,300,9000
0.01464217088171,0.00938143461407266,0.0215966067439677,2381,1.00155174272945,"lambda",26,TRUE,300,9000
0.00870398324930431,0.00551132010710413,0.0132589817592092,2393,1.00150262843929,"lambda",27,TRUE,300,9000
0.0142851171955664,0.00935318671164101,0.0211922564009186,1978,1.00101935105407,"lambda",28,TRUE,300,9000
0.0222793005053469,0.0124052062989229,0.0367630798330492,2521,1.0004704158513,"lambda",29,TRUE,300,9000
0.0119340392574638,0.00667599449405718,0.0202071886439189,2440,1.00064293179842,"lambda",30,TRUE,300,9000
0.0275422932473314,0.0163275690518153,0.0444349274161458,2336,1.00136858260645,"lambda",31,TRUE,300,9000
0.0219977961898424,0.0128956799909916,0.0353071611250214,2584,1.00171761331269,"lambda",32,TRUE,300,9000
0.0196129751313583,0.0114190672142658,0.0319482600348864,2718,1.00134996342306,"lambda",33,TRUE,300,9000
0.0167905580419594,0.00981746358950703,0.0275685856235726,2405,1.00061120548649,"lambda",34,TRUE,300,9000
0.00469674875174498,0.00268046326661838,0.00784240396077881,2402,1.0024040095718,"lambda",35,TRUE,300,9000
0.0239089774081563,0.0141614721829273,0.0384557712347297,2721,1.00221851461396,"lambda",36,TRUE,300,9000
0.00352159200132381,0.00195261345311191,0.00603375780958815,2469,1.00124994693412,"lambda",37,TRUE,300,9000
0.00734605766122472,0.00430230544453866,0.0124066988858792,2374,1.00204890195374,"lambda",38,TRUE,300,9000
0.0772213387285747,0.0484623091226379,0.136075756259941,333,1.00988240692649,"binnedPhiAT",1,TRUE,300,9000
0.124621704207943,0.0660441096341309,0.240401737856691,532,1.00829842023579,"binnedPhiAT",2,TRUE,300,9000
0.154317797220584,0.0751241341558717,0.306153595091674,673,1.00737685192828,"binnedPhiAT",3,TRUE,300,9000
0.0929285649219015,0.0377140148814992,0.204024149763596,931,1.00388193191241,"binnedPhiAT",4,TRUE,300,9000
0.0855542003529255,0.0562194795352277,0.13607405786245,411,1.01230652866461,"binnedPhiAT",5,TRUE,300,9000
0.114624773896828,0.0704351463231809,0.196137474303361,485,1.00994410512676,"binnedPhiAT",6,TRUE,300,9000
0.187232967854599,0.107783729658194,0.343727945726888,516,1.01076151175901,"binnedPhiAT",7,TRUE,300,9000
0.138874443850988,0.0681316841300006,0.273329021813779,741,1.00498466487078,"binnedPhiAT",8,TRUE,300,9000
0.00738366504630913,0.000346434450882912,0.0193905242037446,2209,1.00033571844242,"binnedPhiAT",9,TRUE,300,9000
